client_id,churn,anciennete_mois,sieges_souscrits,utilisateurs_actifs,taux_adoption_pct,connexions_30j,heures_usage_30j,fonctionnalites_utilisees,nb_integrations,derniere_connexion_jours,tickets_support_90j,delai_reponse_support_h,csat,retards_paiement_12m,revenu_mensuel_recurrent_eur,inactivite_relative,inactif_30j,taux_fonctionnalites,polarite_csm_alerte,polarite_csm_neutre,polarite_csm_positif,polarite_csm_absent,niveau_anciennete_recent,niveau_anciennete_etabli,niveau_anciennete_ancien
CLI-003779,0,2,407,241,59.2,17,11.5,2,0,2,2,12.7,2,0,10429.35,0.03,0,0.12,0,0,0,1,1,0,0
CLI-002582,0,20,1,1,100.0,16,5.65,2,2,3,2,28.6,4,0,12.82,0.0,0,0.25,0,1,0,0,0,0,1
CLI-000205,0,15,41,18,43.9,8,2.1,2,2,5,5,20.6,3,0,1025.0,0.01,0,0.12,0,0,0,1,0,0,1
CLI-002990,0,20,10,3,30.0,3,0.8,1,9,3,2,12.3,5,0,274.77,0.0,0,0.06,0,0,0,1,0,0,1
CLI-000218,0,14,152,53,34.9,14,8.8,6,4,3,3,4.4,4,0,7015.68,0.01,0,0.23,0,0,1,0,0,0,1
CLI-000546,0,8,274,229,83.6,82,46.7,12,2,1,2,9.8,3,1,10928.3,0.0,0,0.46,0,0,0,1,0,1,0
CLI-004700,1,3,9,0,0.0,0,0.0,0,0,84,3,11.1,3,0,206.57,0.93,1,0.0,1,0,0,0,1,0,0
CLI-002440,1,18,50,0,0.0,0,0.0,0,0,92,1,5.9,4,0,2439.4,0.17,1,0.0,0,0,0,1,0,0,1
CLI-001333,0,17,25,19,76.0,63,28.0,7,7,2,1,11.1,4,0,575.68,0.0,0,0.44,0,0,1,0,0,0,1
CLI-002965,0,17,140,71,50.7,22,7.1,7,4,1,8,9.4,1,0,6590.84,0.0,0,0.27,1,0,0,0,0,0,1
CLI-001965,0,30,6,4,50.0,47,36.9,3,8,1,5,30.6,4,0,77.3,0.0,0,0.38,0,0,0,1,0,0,1
CLI-001306,0,13,8,5,62.5,20,4.3,6,5,0,5,12.2,3,0,212.93,0.0,0,0.38,0,0,0,1,0,0,1
CLI-003173,0,1,48,36,75.0,62,39.9,14,0,1,0,0.5,5,2,1755.9,0.03,0,0.54,0,1,0,0,1,0,0
CLI-004215,0,19,212,81,38.2,7,3.2,1,5,1,4,20.7,1,0,5071.61,0.0,0,0.06,1,0,0,0,0,0,1
CLI-001373,0,28,32,28,50.0,77,44.3,17,3,1,0,4.9,4,0,1898.61,0.0,0,0.65,0,0,1,0,0,0,1
CLI-003460,0,12,4,3,75.0,35,18.5,10,0,0,0,2.8,5,0,179.34,0.0,0,0.38,0,1,0,0,0,1,0
CLI-004893,0,21,50,14,28.0,1,0.4,7,4,6,0,11.4,3,0,1102.76,0.01,0,0.44,0,0,0,1,0,0,1
CLI-002953,0,2,58,20,34.5,9,1.4,5,1,1,2,14.1,3,3,1213.29,0.02,0,0.31,0,1,0,0,1,0,0
CLI-003202,0,1,16,13,81.2,30,24.3,10,0,2,2,10.5,3,0,395.76,0.07,0,0.62,0,1,0,0,1,0,0
CLI-002056,1,10,41,0,0.0,0,0.0,0,0,39,4,7.0,3,1,1332.98,0.13,1,0.0,0,0,0,1,0,1,0
CLI-004840,0,34,9,2,22.2,1,0.1,4,7,5,0,6.9,4,0,279.42,0.0,0,0.25,1,0,0,0,0,0,1
CLI-004551,1,15,39,15,38.5,18,4.6,3,1,4,4,16.8,3,1,949.17,0.01,0,0.19,0,0,0,1,0,0,1
CLI-004448,1,7,4,2,50.0,20,8.7,4,1,0,3,10.5,4,2,55.61,0.0,0,0.5,0,0,0,1,0,1,0
CLI-002841,0,1,7,4,57.1,23,5.5,4,1,1,0,16.8,5,1,67.75,0.03,0,0.5,0,0,0,1,1,0,0
CLI-003981,1,12,24,13,54.2,16,6.8,13,2,0,3,9.2,3,1,1073.14,0.0,0,0.5,0,0,0,1,0,1,0
CLI-000183,1,18,3,2,66.7,26,14.0,3,2,0,3,16.9,2,0,85.37,0.0,0,0.19,0,0,0,1,0,0,1
CLI-003301,0,10,57,25,43.9,22,2.9,4,2,4,0,6.4,5,1,1223.74,0.01,0,0.25,0,1,0,0,0,1,0
CLI-004768,0,1,738,313,42.4,19,2.3,15,0,0,1,2.6,5,0,26920.81,0.0,0,0.58,0,0,0,1,1,0,0
CLI-003888,0,18,18,8,44.4,2,1.3,9,4,20,2,12.4,2,0,473.3,0.04,0,0.56,0,0,0,1,0,0,1
CLI-000966,0,28,8,4,50.0,25,7.6,3,10,1,2,9.4,4,0,239.0,0.0,0,0.19,0,0,0,1,0,0,1
CLI-000115,0,18,48,13,27.1,5,0.9,7,9,14,1,5.7,3,0,2117.68,0.03,0,0.27,0,0,0,1,0,0,1
CLI-003596,0,8,54,41,75.9,47,28.1,6,2,3,1,9.9,5,1,1536.66,0.01,0,0.38,0,0,0,1,0,1,0
CLI-001206,0,9,31,18,58.1,28,14.3,6,3,1,6,5.2,3,1,1371.1,0.0,0,0.23,0,1,0,0,0,1,0
CLI-004099,0,6,13,10,76.9,44,41.4,24,0,0,1,3.5,5,0,1080.41,0.0,0,0.6,0,1,0,0,0,1,0
CLI-001312,0,14,3,1,33.3,11,6.2,5,3,3,0,0.5,3,0,59.59,0.01,0,0.31,0,0,0,1,0,0,1
