client_id,valeur_vie_client_eur,revenu_mensuel_recurrent_eur,sieges_souscrits,utilisateurs_actifs,taille_entreprise_ge,plan_ent,fonctionnalites_utilisees,delai_reponse_support_h,taille_entreprise_tpe,plan_str,taille_entreprise_pme
CLI-000936,1489162.0,41273.89,417,229,1,1,12,1.2,0,0,0
CLI-001652,4593.0,622.29,55,21,0,0,0,8.2,0,1,1
CLI-001382,2041.0,132.0,11,5,0,0,3,38.2,1,1,0
CLI-003965,9353.0,814.73,30,14,0,0,5,11.3,0,0,1
CLI-000272,26718.0,1551.59,138,83,0,0,1,25.7,0,1,0
CLI-003077,113818.0,5338.57,169,117,0,0,10,12.3,0,0,0
CLI-001461,836.0,42.48,3,2,0,0,4,19.1,1,1,0
CLI-002991,227652.0,11567.7,151,69,1,1,21,3.0,0,0,0
CLI-001944,236174.0,5333.66,217,157,0,0,5,15.1,0,0,0
CLI-004877,15386.0,469.1,21,7,0,0,3,16.3,0,0,1
CLI-002124,371870.0,41227.25,502,410,1,1,15,0.5,0,0,0
CLI-002842,2691.0,113.16,10,0,0,0,0,27.1,1,1,0
CLI-002956,1784645.0,27549.32,321,43,1,1,9,2.5,0,0,0
CLI-000542,15747.0,1200.21,55,25,0,0,7,8.9,0,0,1
CLI-004291,4481.0,1366.27,46,29,0,0,2,4.3,0,0,1
CLI-001031,4593.0,74.68,6,3,0,0,2,15.4,1,1,0
CLI-001674,10742.0,1091.62,52,35,0,0,5,17.5,0,0,1
CLI-001898,62171.0,1263.64,32,20,0,0,7,5.8,0,0,1
CLI-003884,6190.0,62.91,4,4,0,0,6,26.5,1,1,0
CLI-000345,17398.0,5304.26,187,171,0,0,9,6.0,0,0,0
CLI-004761,107239.0,1334.48,25,6,0,0,4,1.4,0,0,1
CLI-000648,32421.0,2080.96,76,45,0,0,4,15.7,0,0,0
CLI-004981,1923.0,65.14,5,2,0,0,3,36.9,1,1,0
CLI-003872,19420.0,1076.52,30,4,0,0,1,5.5,0,0,1
CLI-000367,6556.0,307.52,12,4,0,0,6,8.0,0,0,1
CLI-002470,93459.0,28493.63,740,436,1,0,13,7.5,0,0,0
CLI-003692,8466.0,938.54,37,12,0,0,3,19.5,0,0,1
CLI-002732,2000000.0,66168.67,760,315,1,1,11,3.0,0,0,0
CLI-000128,258963.0,8535.37,186,74,0,0,7,6.4,0,0,0
CLI-003427,5967.0,250.93,7,4,0,0,9,5.6,1,0,0
CLI-001447,6370.0,165.28,6,6,0,0,7,10.5,1,0,0
CLI-001144,3818.0,81.69,3,1,0,0,3,14.6,1,0,0
CLI-003552,222322.0,12910.68,267,115,1,0,9,4.5,0,0,0
CLI-000928,69216.0,12058.6,613,85,1,0,0,11.0,0,0,0
CLI-001878,85481.0,4343.55,114,57,0,0,7,4.9,0,0,0
CLI-000232,7451.0,567.93,45,34,0,0,4,30.6,0,1,1
CLI-002242,135803.0,4476.05,92,67,0,0,16,3.7,0,0,0
CLI-001717,902399.0,30569.07,546,181,1,0,9,5.1,0,0,0
